Location ID,Location,Value,Rank,Anomaly (1901-2000 base period),1901-2000 Mean
GA-277,Tift County,76.2,74,0.2,76
GA-279,Toombs County,77,80,0.8,76.2
GA-281,Towns County,65.4,47,-1,66.4
GA-283,Treutlen County,76.1,73,0.4,75.7
GA-285,Troup County,72.9,59,-0.3,73.2
GA-287,Turner County,75.9,73,0.3,75.6
GA-289,Twiggs County,74.9,60,-0.3,75.2
GA-291,Union County,66.1,51,-0.7,66.8
GA-293,Upson County,73.1,55,-0.7,73.8
GA-295,Walker County,71.3,66,-0.2,71.5
GA-297,Walton County,70.5,30,-1.9,72.4
GA-299,Ware County,77.9,93,1.2,76.7
GA-301,Warren County,73.1,55,-0.5,73.6
GA-303,Washington County,74.6,64,-0.1,74.7
GA-305,Wayne County,77.7,89,1.2,76.5
GA-307,Webster County,74.3,46,-1,75.3
GA-309,Wheeler County,76.8,75,0.6,76.2
GA-311,White County,67.6,40,-1.3,68.9
GA-313,Whitfield County,71.9,67,0,71.9
GA-315,Wilcox County,76.1,72,0.3,75.8
GA-317,Wilkes County,72.3,51,-1,73.3
GA-319,Wilkinson County,75,62,-0.2,75.2
GA-321,Worth County,76.2,73,0.2,76
ID-001,Ada County,66.1,112,3.3,62.8
ID-003,Adams County,59,116,3.7,55.3
ID-005,Bannock County,60.1,114,3.3,56.8
ID-007,Bear Lake County,54.1,96,2.1,52
ID-009,Benewah County,60.3,120,4.9,55.4
ID-011,Bingham County,59,103,2.7,56.3
ID-013,Blaine County,58.8,121,4.8,54
ID-015,Boise County,59.2,115,3.9,55.3
ID-017,Bonner County,58,118,4.4,53.6
ID-019,Bonneville County,56.4,104,2.7,53.7
ID-021,Boundary County,56,119,4.6,51.4
ID-023,Butte County,58.1,119,4.1,54
ID-025,Camas County,58.6,125,5.7,52.9
ID-027,Canyon County,66.1,117,3.8,62.3
ID-029,Caribou County,56.5,109,3,53.5
ID-031,Cassia County,61.6,119,4.1,57.5
ID-033,Clark County,56.8,120,4.5,52.3
ID-035,Clearwater County,58.3,114,4.2,54.1
ID-037,Custer County,54.1,121,4.7,49.4
ID-039,Elmore County,62.9,119,4.6,58.3
ID-041,Franklin County,59,108,3.1,55.9
ID-043,Fremont County,55.4,118,3.8,51.6
ID-045,Gem County,64.1,114,3.3,60.8
ID-047,Gooding County,64.9,120,4.9,60
ID-049,Idaho County,55.6,115,3.6,52
ID-051,Jefferson County,59,113,3.4,55.6
ID-053,Jerome County,63.8,118,4.4,59.4
ID-055,Kootenai County,60.2,118,4.6,55.6
ID-057,Latah County,60.7,119,4.6,56.1
ID-059,Lemhi County,55,117,4.5,50.5
ID-061,Lewis County,59.6,113,3.5,56.1
ID-063,Lincoln County,62.5,118,4.5,58
ID-065,Madison County,58.3,116,3.7,54.6
ID-067,Minidoka County,61.8,117,3.9,57.9
ID-069,Nez Perce County,63.3,116,4.1,59.2
ID-071,Oneida County,61.4,109,3.4,58
ID-073,Owyhee County,63.1,119,4.4,58.7
ID-075,Payette County,65,104,2.7,62.3
